condition,index,language,answer,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10
cot,1,en,gold,"0,019","0,022","0,112",,,,,,,
cot,2,en,gold,"0,017","0,008","0,032","0,128",,,,,,
cot,3,en,not_gold,"0,060","0,066","0,164",,,,,,,
cot,4,en,gold,"0,022","0,010","0,009","0,127",,,,,,
cot,5,en,gold,"0,022","0,026","0,136",,,,,,,
cot,6,en,gold,"0,027","0,082",,,,,,,,
cot,7,en,gold,"0,019","0,014","0,140",,,,,,,
cot,8,en,gold,"0,023","0,024","0,124",,,,,,,
cot,1,fr,gold,"0,025","0,025","0,117",,,,,,,
cot,2,fr,gold,"0,031","0,011","0,029","0,024","0,094",,,,,
cot,3,fr,gold,"0,072","0,195",,,,,,,,
cot,4,fr,gold,"0,031","0,039","0,117",,,,,,,
cot,5,fr,gold,"0,025","0,041","0,111",,,,,,,
cot,6,fr,gold,"0,051","0,087",,,,,,,,
cot,7,fr,gold,"0,017","0,056","0,083",,,,,,,
cot,8,fr,gold,"0,038","0,019","0,139",,,,,,,
cot,1,de,gold,"0,023","0,028","0,029","0,125",,,,,,
cot,2,de,gold,"0,046","0,044","0,137",,,,,,,
cot,3,de,not_gold,"0,029","0,020","0,045","0,058","0,196",,,,,
cot,4,de,gold,"0,054","0,048","0,101",,,,,,,
cot,5,de,gold,"0,064","0,138",,,,,,,,
cot,6,de,not_gold,"0,028","0,024","0,025","0,075","0,134",,,,,
cot,7,de,gold,"0,040","0,137",,,,,,,,
cot,8,de,gold,"0,028","0,032","0,145",,,,,,,
negation,1,en,gold_false,"0,024","0,013","0,030","0,012","0,042","0,141",,,,
negation,2,en,gold_false,"0,020","0,007","0,013","0,014","0,020","0,118",,,,
negation,3,en,gold_false,"0,044","0,131",,,,,,,,
negation,4,en,not_gold_true,"0,024","0,020","0,059","0,176",,,,,,
negation,5,en,not_gold_true,"0,016","0,014","0,010","0,240",,,,,,
negation,6,en,gold_false,"0,025","0,032","0,169",,,,,,,
negation,7,en,not_gold_false,"0,033","0,035","0,062","0,147","0,140",,,,,
negation,8,en,gold_false,"0,024","0,016","0,137",,,,,,,
negation,1,fr,not_gold_true,"0,030","0,022","0,019","0,148",,,,,,
negation,2,fr,not_gold_false,"0,032","0,029","0,171",,,,,,,
negation,3,fr,gold_false,"0,049","0,155",,,,,,,,
negation,4,fr,gold_false,"0,042","0,026","0,275",,,,,,,
negation,5,fr,not_gold_true,"0,025","0,042","0,026","0,168",,,,,,
negation,6,fr,gold_false,"0,045","0,106",,,,,,,,
negation,7,fr,gold_false,"0,016","0,018","0,030","0,083",,,,,,
negation,8,fr,gold_false,"0,040","0,024","0,131",,,,,,,
negation,1,de,not_gold_false,"0,018","0,020","0,015","0,032","0,0200","0,0180","0,0450","0,0430","0,0630","0,148"
negation,2,de,not_gold_false,"0,020","0,024","0,012","0,083",,,,,,
negation,3,de,gold_false,"0,035","0,023","0,066","0,181",,,,,,
negation,4,de,not_gold_true,"0,050","0,030","0,045","0,163",,,,,,
negation,5,de,not_gold_false,"0,049","0,044","0,052","0,028","0,158",,,,,
negation,6,de,not_gold_false,"0,032","0,034","0,037","0,061","0,075","0,142",,,,
negation,7,de,gold_false,"0,034","0,046","0,042","0,027","0,033","0,162",,,,
negation,8,de,not_gold_true,"0,025","0,044","0,018","0,578",,,,,,
distractor,1,en,not_gold,"0,029","0,067","0,030","0,069","0,122",,,,,
distractor,2,en,gold,"0,020","0,023","0,115",,,,,,,
distractor,3,en,gold,"0,021","0,018","0,057","0,223",,,,,,
distractor,4,en,gold,"0,030","0,059","0,111","0,120",,,,,,
distractor,5,en,gold,"0,028","0,043","0,102","0,114",,,,,,
distractor,6,en,not_gold,"0,026","0,014","0,023","0,018","0,3140",,,,,
distractor,7,en,gold,"0,020","0,030","0,139",,,,,,,
distractor,8,en,gold,"0,076","0,099",,,,,,,,
distractor,1,fr,not_gold,"0,068","0,053","0,168",,,,,,,
distractor,2,fr,gold,"0,033","0,054","0,038","0,237",,,,,,
distractor,3,fr,not_gold,"0,047","0,047","0,100",,,,,,,
distractor,4,fr,gold,"0,035","0,082","0,110",,,,,,,
distractor,5,fr,not_gold,"0,045","0,025","0,184",,,,,,,
distractor,6,fr,not_gold,"0,056","0,038","0,025","0,147",,,,,,
distractor,7,fr,gold,"0,026","0,026","0,021","0,072",,,,,,
distractor,8,fr,gold,"0,046","0,024","0,042","0,137",,,,,,
distractor,1,de,not_gold,"0,017","0,036","0,034","0,020","0,133",,,,,
distractor,2,de,gold,"0,037","0,044","0,066","0,103","0,292",,,,,
distractor,3,de,gold,"0,023","0,062","0,010","0,040","0,032","0,172",,,,
distractor,4,de,gold,"0,032","0,039","0,032","0,086","0,044","0,186",,,,
distractor,5,de,gold,"0,063","0,085","0,101","0,205",,,,,,
distractor,6,de,not_gold,"0,052","0,038","0,080","0,051","0,173",,,,,
distractor,7,de,gold,"0,050","0,045","0,026","0,026","0,137",,,,,
distractor,8,de,gold,"0,026","0,026","0,054","0,028","0,168",,,,,
