condition,index,language,answer,probability
cot,1,en,gold,"1,000"
cot,2,en,gold,"1,000"
cot,3,en,not_gold,"0,995"
cot,4,en,gold,"1,000"
cot,5,en,gold,"1,000"
cot,6,en,gold,"1,000"
cot,7,en,gold,"1,000"
cot,8,en,gold,"1,000"
cot,1,fr,gold,"1,000"
cot,2,fr,gold,"1,000"
cot,3,fr,gold,"1,000"
cot,4,fr,gold,"1,000"
cot,5,fr,gold,"1,000"
cot,6,fr,gold,"1,000"
cot,7,fr,gold,"1,000"
cot,8,fr,gold,"1,000"
cot,1,de,gold,"1,000"
cot,2,de,gold,"1,000"
cot,3,de,not_gold,"1,000"
cot,4,de,gold,"1,000"
cot,5,de,gold,"1,000"
cot,6,de,not_gold,"0,994"
cot,7,de,gold,"1,000"
cot,8,de,gold,"1,000"
negation,1,en,gold_false,"1,000"
negation,2,en,gold_false,"1,000"
negation,3,en,gold_false,"1,000"
negation,4,en,not_gold_true,"1,000"
negation,5,en,not_gold_true,"1,000"
negation,6,en,gold_false,"1,000"
negation,7,en,not_gold_false,"0,930"
negation,8,en,gold_false,"1,000"
negation,1,fr,not_gold_true,"1,000"
negation,2,fr,not_gold_false,"1,000"
negation,3,fr,gold_false,"1,000"
negation,4,fr,gold_false,"1,000"
negation,5,fr,not_gold_true,"1,000"
negation,6,fr,gold_false,"1,000"
negation,7,fr,gold_false,"1,000"
negation,8,fr,gold_false,"1,000"
negation,1,de,not_gold_false,"1,000"
negation,2,de,not_gold_false,"0,997"
negation,3,de,gold_false,"1,000"
negation,4,de,not_gold_true,"1,000"
negation,5,de,not_gold_false,"1,000"
negation,6,de,not_gold_false,"1,000"
negation,7,de,gold_false,"1,000"
negation,8,de,not_gold_true,"0,999"
distractor,1,en,not_gold,"1,000"
distractor,2,en,gold,"1,000"
distractor,3,en,gold,"1,000"
distractor,4,en,gold,"1,000"
distractor,5,en,gold,"1,000"
distractor,6,en,not_gold,"0,997"
distractor,7,en,gold,"1,000"
distractor,8,en,gold,"1,000"
distractor,1,fr,not_gold,"1,000"
distractor,2,fr,gold,"1,000"
distractor,3,fr,not_gold,"1,000"
distractor,4,fr,gold,"1,000"
distractor,5,fr,not_gold,"0,990"
distractor,6,fr,not_gold,"1,000"
distractor,7,fr,gold,"1,000"
distractor,8,fr,gold,"1,000"
distractor,1,de,not_gold,"1,000"
distractor,2,de,gold,"0,998"
distractor,3,de,gold,"0,998"
distractor,4,de,gold,"0,999"
distractor,5,de,gold,"0,998"
distractor,6,de,not_gold,"1,000"
distractor,7,de,gold,"1,000"
distractor,8,de,gold,"1,000"
